congressman_full_name,state,district
"Meadows, Mark",NC,11th
"Meehan, Patrick",PA,7th
"Meeks, Gregory W.",NY,5th
"Meng, Grace",NY,6th
"Messer, Luke",IN,6th
"Mitchell, Paul",MI,10th
"Moolenaar, John R.",MI,4th
"Mooney, Alexander X.",WV,2d
"Moore, Gwen",WI,4th
"Moulton, Seth",MA,6th
"Mullin, Markwayne",OK,2d
"Murphy, Stephanie N.",FL,7th
"Nadler, Jerrold",NY,10th
"Napolitano, Grace F.",CA,32d
"Neal, Richard E.",MA,1st
"Newhouse, Dan",WA,4th
"Noem, Kristi L.",SD,At Large
"Nolan, Richard M.",MN,8th
"Norcross, Donald",NJ,1st
"Norman, Ralph",SC,5th
"Norton, Eleanor Holmes",DC,Delegate
"Nunes, Devin",CA,22d
"O'Halleran, Tom",AZ,1st
"Olson, Pete",TX,22d
"O'Rourke, Beto",TX,16th
"Palazzo, Steven M.",MS,4th
"Pallone, Frank, Jr.",NJ,6th
"Palmer, Gary J.",AL,6th
"Panetta, Jimmy",CA,20th
"Pascrell, Bill, Jr.",NJ,9th
"Paulsen, Erik",MN,3d
"Payne, Donald M., Jr.",NJ,10th
"Pearce, Stevan",NM,2d
"Pelosi, Nancy",CA,12th
"Perlmutter, Ed",CO,7th
"Perry, Scott",PA,4th
"Peters, Scott H.",CA,52d
"Peterson, Collin C.",MN,7th
"Pingree, Chellie",ME,1st
"Pittenger, Robert",NC,9th
"Plaskett, Stacey E.",VI,Delegate
"Pocan, Mark",WI,2d
"Poe, Ted",TX,2d
"Poliquin, Bruce",ME,2d
"Polis, Jared",CO,2d
"Posey, Bill",FL,8th
"Price, David E.",NC,4th
"Quigley, Mike",IL,5th
"Radewagen, Aumua Amata Coleman",AS,Delegate
"Raskin, Jamie",MD,8th
"Ratcliffe, John",TX,4th
"Reed, Tom",NY,23d
"Reichert, David G.",WA,8th
"Renacci, James B.",OH,16th
"Rice, Kathleen M.",NY,4th
"Rice, Tom",SC,7th
"Richmond, Cedric L.",LA,2d
"Roby, Martha",AL,2d
"Roe, David P.",TN,1st
"Rogers, Harold",KY,5th
"Rogers, Mike",AL,3d
"Rohrabacher, Dana",CA,48th
"Rokita, Todd",IN,4th
"Rooney, Francis",FL,19th
"Rooney, Thomas J.",FL,17th
"Rosen, Jacky",NV,3d
"Roskam, Peter J.",IL,6th
"Ros-Lehtinen, Ileana",FL,27th
"Ross, Dennis A.",FL,15th
"Rothfus, Keith J.",PA,12th
"Rouzer, David",NC,7th
"Roybal-Allard, Lucille",CA,40th
"Royce, Edward R.",CA,39th
"Ruiz, Raul",CA,36th
"Ruppersberger, C. A. Dutch",MD,2d
"Rush, Bobby L.",IL,1st
"Russell, Steve",OK,5th
"Rutherford, John H.",FL,4th
"Ryan, Paul D.",WI,1st
"Ryan, Tim",OH,13th
"Sablan, Gregorio Kilili Camacho",MP,Delegate
"Sánchez, Linda T.",CA,38th
"Sanford, Mark",SC,1st
"Sarbanes, John P.",MD,3d
"Scalise, Steve",LA,1st
"Schakowsky, Janice D.",IL,9th
"Schiff, Adam B.",CA,28th
"Schneider, Bradley Scott",IL,10th
"Schrader, Kurt",OR,5th
"Schweikert, David",AZ,6th
"Scott, Austin",GA,8th
"Scott, David",GA,13th
"Scott, Robert C. ""Bobby""",VA,3d
"Sensenbrenner, F. James, Jr.",WI,5th
"Serrano, José E.",NY,15th
"Sessions, Pete",TX,32d
"Sewell, Terri A.",AL,7th
"Shea-Porter, Carol",NH,1st
"Sherman, Brad",CA,30th
"Shimkus, John",IL,15th
"Shuster, Bill",PA,9th
"Simpson, Michael K.",ID,2d
"Sinema, Kyrsten",AZ,9th
"Sires, Albio",NJ,8th
"Slaughter, Louise McIntosh",NY,25th
"Smith, Adam",WA,9th
"Smith, Adrian",NE,3d
"Smith, Christopher H.",NJ,4th
"Smith, Jason",MO,8th
"Smith, Lamar",TX,21st
"Smucker, Lloyd",PA,16th
"Soto, Darren",FL,9th
"Speier, Jackie",CA,14th
"Stefanik, Elise M.",NY,21st
"Stewart, Chris",UT,2d
"Stivers, Steve",OH,15th
"Suozzi, Thomas R.",NY,3d
"Swalwell, Eric",CA,15th
"Takano, Mark",CA,41st
"Taylor, Scott",VA,2d
"Tenney, Claudia",NY,22d
"Thompson, Bennie G.",MS,2d
"Thompson, Glenn",PA,5th
"Thompson, Mike",CA,5th
"Thornberry, Mac",TX,13th
"Tiberi, Patrick J.",OH,12th
"Tipton, Scott R.",CO,3d
"Titus, Dina",NV,1st
"Tonko, Paul",NY,20th
"Torres, Norma J.",CA,35th
"Trott, David A.",MI,11th
"Tsongas, Niki",MA,3d
"Turner, Michael R.",OH,10th
"Upton, Fred",MI,6th
"Valadao, David G.",CA,21st
"Vargas, Juan",CA,51st
"Veasey, Marc A.",TX,33d
"Vela, Filemon",TX,34th
"Velázquez, Nydia M.",NY,7th
"Visclosky, Peter J.",IN,1st
"Wagner, Ann",MO,2d
"Walberg, Tim",MI,7th
"Walden, Greg",OR,2d
"Walker, Mark",NC,6th
"Walorski, Jackie",IN,2d
"Walters, Mimi",CA,45th
"Walz, Timothy J.",MN,1st
"Wasserman Schultz, Debbie",FL,23d
"Waters, Maxine",CA,43d
"Watson Coleman, Bonnie",NJ,12th
"Weber, Randy K., Sr.",TX,14th
"Webster, Daniel",FL,11th
"Welch, Peter",VT,At Large
"Wenstrup, Brad R.",OH,2d
"Westerman, Bruce",AR,4th
"Williams, Roger",TX,25th
"Wilson, Frederica S.",FL,24th
"Wilson, Joe",SC,2d
"Wittman, Robert J.",VA,1st
"Womack, Steve",AR,3d
"Woodall, Rob",GA,7th
"Yarmuth, John A.",KY,3d
"Yoder, Kevin",KS,3d
"Yoho, Ted S.",FL,3d
"Young, David",IA,3d
"Young, Don",AK,At Large
"Zeldin, Lee M.",NY,1st
